id,name,album,artist,genre
6Rkp6fEsvOTR7YxsW5uNyR,My Friend the Forest,Tripping with Nils Frahm,Nils Frahm,"compositional ambient, electronica, neo-classical, neoclassical darkwave"
7kxnqBmbFilmSlYdDB6aBz,Moving Men - Bob Sinclar Remix,Moving Men (Bob Sinclar Remix),Myd,"filter house, french indie pop, french indietronica, new french touch"
11ajcVj3qSyyMPUpTJUP3y,Protect The Land,Protect The Land / Genocidal Humanoidz,System Of A Down,"alternative metal, nu metal, rap metal, rock"
1hM3r9AKtL3XZwPqRHcCMG,Entre Mis Brazos,Los Bunkers,Los Bunkers,"chilean rock, concepcion indie, latin alternative, latin rock, nueva cancion, rock en espanol"
05QhG4JOkDSPh4OsUCAUvM,Sentada Aqui En Mi Alma,Sincero,Chayanne,"latin, latin pop, puerto rican pop, tropical"
1nIw3ohgilArczHubneGxD,Black Lungs,Black Lungs,Architects,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore"
7iD8k5hk28FNdKbmVgKW5F,Billiards,Falling into Place,Home,future funk
3M3N9Br6OACiu9fDtXUhbt,I See You,Falling into Place,Home,future funk
3tjwjBfPO1pyjhnrI0J5Nq,Head First,Falling into Place,Home,future funk
6JRs48NLr0rCaMfQ7y3JDI,pink cloud days,sunshine girl,A.L.I.S.O.N,vaporwave
5BZzijsICP2m6UF1FsSSnj,Polaris,Umbra,Downtown Binary,no information
7nznhnPhlVij942eItRg7k,All at Once,100k Compilation,Various Artists,no information
2EGBaThHoA6PUAjktFIBRy,Descent,Obsolete [Special Edition],Fear Factory,"alternative metal, groove metal, industrial metal, industrial rock, metal, nu metal, rap metal, rap rock"
2RTZo39j5ior0hY1GNExXK,Discard Your Fear,"Love, Fear and the Time Machine",Riverside,"art rock, neo-progressive, polish prog, prog metal, progressive metal, progressive rock, symphonic rock"
1ujbcTZIj5MSTFZZTgxX2Y,Agoraphobia,Microcastle,Deerhunter,"alternative dance, alternative rock, art pop, atlanta indie, chamber psych, chillwave, dance-punk, dream pop, electronica, experimental rock, freak folk, garage psych, indie pop, indie rock, lo-fi, modern alternative rock, modern rock, neo-psychedelic, new rave, noise pop, noise rock, nu gaze, shoegaze"
7A0wEdMT7iL7j3C3CcYjt6,Cosey Mo,More Constant Than the Gods,SubRosa,"drone metal, gaian doom, post-doom metal, post-metal, psychedelic doom, utah metal"
47EiUVwUp4C9fGccaPuUCS,Dakiti,Dakiti,Bad Bunny,"latin, reggaeton, trap latino"
7yrW1KouUn1Wjjk0DTkFXP,PERSONAL SHOPPER,12 THINGS I FORGOT,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
5NG2IZs9fvsm2SlPnzRBNM,12 THINGS I FORGOT,12 THINGS I FORGOT,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
0Sr9uJqXFAvqHcgwg3UjY5,Slide Away - 2016 Remastered,A Storm In Heaven (2016 Remastered / Deluxe),The Verve,"alternative rock, britpop, modern rock, permanent wave, pop rock, rock, shoegaze"
5JspPZ5QoUxVmhefk0UVgB,Nosebleed,Adrenaline,Deftones,"alternative metal, alternative rock, nu metal, rap metal, rock, sacramento indie"
3FWR4iiUUPHIK7OpiEgh8J,Lost Ones,Cole World: The Sideline Story,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
0eneujAc4PxkdjP25Gsue1,False Prophets,False Prophets,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
6sZv0ECT8cEW3oZtoCuVg4,Lights Please,Cole World: The Sideline Story,J. Cole,"conscious hip hop, hip hop, north carolina hip hop, rap"
0d0GGqspmqz8zcA5qMUlYq,South Winds,Arktis.,Ihsahn,"black metal, jazz metal, metal, norwegian metal, post-metal, progressive metal"
2dvlcmvEXaXvPr8Vak368O,Lines In Sand,Porcelain,Sparta,"el paso indie, emo, emo punk, midwest emo, post-hardcore, screamo"
63BcfK6YAzJYeISaTPr6IO,Big Poppa - 2007 Remaster,Greatest Hits,The Notorious B.I.G.,"east coast hip hop, gangster rap, hardcore hip hop, hip hop, rap"
0b4TKuvZ4eJ8eHgJgXaCnN,Two-Way Mirror,I Let It in and It Took Everything,Loathe,"nu-metalcore, progressive metalcore, uk metalcore"
0ZfpA3Tq0OWlxpowofOlH9,Aggressive Evolution,I Let It in and It Took Everything,Loathe,"nu-metalcore, progressive metalcore, uk metalcore"
6vizvvoC227kBMQzBqNJyz,Multiverse,Triptych Continuum,Quicksand,"alternative metal, alternative pop, emo, emo punk, grunge, hardcore, melodic hardcore, nyhc, post-hardcore"
0Bv2ixOjn8jKiVTQXE9mF8,Fazer,Slip,Quicksand,"alternative metal, alternative pop, emo, emo punk, grunge, hardcore, melodic hardcore, nyhc, post-hardcore"
0LBmvPJYmtEJ7kkWvc3kbT,Oceans,Ten,Pearl Jam,"alternative rock, grunge, permanent wave, pop rock, rock"
4OmlsAT8r4q9vPFBvfYgyZ,Is It Really You?,I Let It in and It Took Everything,Loathe,"nu-metalcore, progressive metalcore, uk metalcore"
0yzjqS9Ya9tE0QAYizgpNe,Ataraxia,Team Sleep (U.S. Release),Team Sleep,"alternative metal, nu metal, sacramento indie"
4ZOmgxC7Uf3YrjeDrSWytk,Forever And Ever,Demis Roussos - Greatest Hits (1971 - 1980),Demis Roussos,"classic uk pop, europop"
52p8lRbIrKYjzwDMXgBVFO,History - Remastered 2016,A Northern Soul (2016 Remastered / Deluxe),The Verve,"alternative rock, britpop, modern rock, permanent wave, pop rock, rock, shoegaze"
3HNxoXFuROBwYFRURGR1lc,Surprised by the Joy,Natural Rebel (Deluxe),Richard Ashcroft,"britpop, pop rock"
2GVFckJhpPtsCKhf6VHyhy,They Don't Own Me,These People,Richard Ashcroft,"britpop, pop rock"
0Q7Ze4hUXsnUl4ZTIvsj4q,Volver a Nacer,Desde Siempre,Chayanne,"latin, latin pop, puerto rican pop, tropical"
5bVCHIQgZ4Jcr6DFmnYqRo,Tu Respiración,En Todo Estaré (Deluxe Edition),Chayanne,"latin, latin pop, puerto rican pop, tropical"
5Z8lZ3FhHDMF85kZXXGhFZ,Si Nos Quedara Poco Tiempo,Mi Tiempo (Deluxe Edition),Chayanne,"latin, latin pop, puerto rican pop, tropical"
6CAkOgO0W91mbPqrButSgz,Reaching Home,Dualism,Textures,"djent, dutch metal"
0NqRR0qj7b7aZ6rW9uXQwh,Standing On the Edge Of The Noise,"Different Gear, Still Speeding",Beady Eye,britpop
6gUQLhO6mqCTxw3GcplUhL,Bodom Beach Terror,Hate Crew Deathroll,Children Of Bodom,"alternative metal, finnish death metal, finnish metal, melodic death metal, metal, power metal"
4aL15aDa545Dc8E313rIEb,Quisiera Ser,Grandes Exitos,Chayanne,"latin, latin pop, puerto rican pop, tropical"
6l1glf9uCx1lARUFMDYZ1d,Continuación,Sesiones De Cuarentena,INSITE,"baja indie, latin rock, latincore, mexican indie, mexican pop punk, mexican rock"
3pv4omYruIU4D2JExkShzl,Tan Fácil,Viejas & Nuevas Tragedias,Sin Perdón,"latincore, punk chileno, punk melodico chileno"
1fOkePiratk9GcIDSSg8U0,Dark Star,Hover,the sleepover disaster,"indie shoegaze, nu gaze, shoegaze"
0kX6e2QvBjZG3qWP5NGjkS,Goodbye,Army of Anyone,Army of Anyone,no information
7j31rVgGX9Q2blT92VBEA0,Teenagers,The Black Parade,My Chemical Romance,"emo, modern rock, pop punk, rock"
4ceTCJPLBQBOogseivMuhL,Ancestral,Hand Cannot Erase,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
6bHiGzAT6lxyWRBXd6lVRF,Song Of Unborn,To The Bone,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
5ZcxDZkfflzvZ5nJPyzXZs,Detonation,To The Bone,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
1tzCbOeyoKtCNkynz4HmQk,Permanating,To The Bone,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
7CcaktZZsdb8AWPdhDM38f,Pariah,To The Bone,Steven Wilson,"alternative metal, art rock, progressive metal, progressive rock, symphonic rock"
5xhQOnyRJfRywbEwpkgoTy,Wake Up,Above (Deluxe Edition),Mad Season,"alternative metal, alternative rock, blues rock, grunge, rock, supergroup"
6HzrQKBKqRW2woOe3GFN8A,"Fraternity - Live at BBC Radio 1, Glasgow, Scotland - November 1999",00999925,Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
1Z9Hyj8nmPFjGDZ5O3Mnae,Continuum,Continuum,Eagle Eyed Tiger,no information
2m84NJlwnUIZLJwd7EqR71,Visions,Azur,Krosia,no information
7wrBlgNqYBAC5yFfO4fnYb,Don't Close Your Eyes,Blow My Fuse,Kix,"album rock, glam metal, hard rock, metal, sleaze rock"
1KxNmUInjFsoDFrLaTtpLZ,Something About You,Boston,Boston,"album rock, art rock, classic rock, country rock, hard rock, mellow gold, rock, soft rock"
0870QNicMawQH2cnzBVZ3P,Hitch a Ride,Boston,Boston,"album rock, art rock, classic rock, country rock, hard rock, mellow gold, rock, soft rock"
5E89Izp4YhPyNShoxiOJ1u,Rock & Roll Band,Boston,Boston,"album rock, art rock, classic rock, country rock, hard rock, mellow gold, rock, soft rock"
1gdgs97vzNMxST1IATH9xk,4D,Alien,Northlane,"australian metalcore, deep melodic metalcore, djent, melodic metalcore, metalcore, nu-metalcore, progressive metalcore"
6gM11PV8nD5aftCB6aMR1x,JUNKIE$,Flip Phone Fantasy,Ocean Grove,"australian metalcore, australian post-hardcore, nu-metalcore"
5pqDkgqNrZEIckTOz0LRmq,Lapochka,Noctourniquet,The Mars Volta,"alternative metal, el paso indie, modern rock, rock"
63JE1xclq1I0C0WlOEGpYH,Shallow Water,Shallow Water,Wild Nothing,"alternative dance, chillwave, dream pop, indie pop, indie rock, indie surf, modern dream pop, nu gaze, shimmer pop, shoegaze"
